Region,Zone,Type,Language,Address
us-east1,b,VM,Python,35.237.232.176
us-east1,b,VM,Java,35.196.181.146:8080/randnum/hello
asia-northeast1,a,App,Python,regions-254017.appspot.com
asia-northeast1,a,VM,Python,34.84.95.192
asia-south1,c,App,Python,timing-experiment-cs4263.appspot.com
asia-northeast1,a,App,Java,glass-pen-254017.appspot.com
asia-south1,a,VM,Java,34.93.76.51:8080/rng/
asia-northeast1,b,VM,Java,34.85.71.249:8080/random/hello.jsp
australia-southeast1,b,VM,Java,35.189.39.14/randnum/randnum
australia-southeast1,b,VM,Python,35.189.43.96:5000
australia-southeast1,b,App,Java,galvanic-ward-254017.appspot.com
australia-southeast1,b,App,Python,python-aus.appspot.com
asia-south1,c,App,Java,team-23-asia-southeast.appspot.com
asia-southeast1,b,VM,Python,34.87.23.44:5000
asia-northeast2,a,VM,Java,34.97.51.216:8080/number.jsp
europe-north1,c,VM,Python,35.228.86.47:5000
asia-northeast2,a,App,Python,rng-python-asiane2.appspot.com
asia-east2,c,VM,Python,35.220.136.215
asia-southeast1,a,VM,Python,34.87.17.67/python/
asia-southeast1,a,VM,Java,34.87.17.67/java/RandGen.shtml
asia-south1,c,App,Java,region-change.appspot.com/demo
australia-southeast1,c,App,Python,cs-4263-1.appspot.com
asia-northeast2,a,VM,Python,34.97.25.195
asia-east2,,App,Python,cs4263-rngtiming.appspot.com
asia-east2,,App,Java,javaproject1-254017.appspot.com
asia-east2,,VM,Python,35.220.136.215
southamerica-east1,a,App,Python,timing-experiment-sa-zonea.appspot.com
southamerica-east1,a,App,Java,timing-experiment-sa-java.appspot.com/demo
europe-west3,b,App,Python,radom-timing-experiment.appspot.com
europe-west3,b,App,Java,java-dot-radom-timing-experiment.appspot.com
europe-west3,b,VM,Java,35.246.243.145
europe-west3,b,VM,Python,35.234.125.152
europe-west6,a,VM,Java,34.65.30.164
southamerica-east1,a,VM,Python,34.95.171.137
europe-west4,a,VM,Python,35.204.2.146
asia-south1,a,VM,Python,34.93.13.81:8000
europe-west3,a,App,Python,python-ae-test.appspot.com
europe-west3,a,VM,Python,35.242.194.148
europe-west3,a,App,Java,glassy-droplet-254017.appspot.com
europe-west3,a,VM,Java,35.198.133.185/Servlets/RandomNumberGen
europe-west2,a,VM,Java,35.242.148.119/javarng
europe-west2,a,VM,Python,35.242.148.119/pythonrng
europe-west2,a,App,Java,javarng-dot-universal-helix-254016.appspot.com
europe-west2,a,App,Python,pythonrng-dot-universal-helix-254016.appspot.com
us-central1,a,App,Python,agile-genius-254017.appspot.com
us-central1,a,App,Java,random-num-generator-java.appspot.com
us-central1,a,VM,Python,34.67.208.90:5000
us-central1,a,VM,Java,35.232.76.156:8080/randomnum/rnd.jsp
us-west1,a,VM,Python,35.197.97.54/Project
us-east4,a,VM,Java,35.245.249.223:8080/javaapp-1.0-SNAPSHOT/
us-east4,a,App,Java,java-east.appspot.com
us-east4,a,VM,Python,35.236.251.120:5000/
us-east4,a,App,Python,distributed-inn-254017.appspot.com
europe-west2,b,VM,Python,34.89.105.129
us-central1,c,App,Java,software-engineering-4263.appspot.com/randomnumber
europe-west3,c,App,Python,xenon-blade-254017.appspot.com
asia-east1,b,VM,Python,https://eastasia.mag-i-c.com/
asia-east1,b,VM,Java,eastasiajava.mag-i-c.com/
asia-east2,,App,Python,adept-storm-254017.appspot.com
asia-east2,,App,Java,timing-experiment-2.appspot.com
europe-west6,a,VM,Java,34.65.233.205:8080/Rng/giveme
europe-west6,a,App,Java,20190925t131126-dot-green-network-254018.appspot.com/rnd
asia-south1,a,App,Java,javaappexperiment.appspot.com
asia-south1,a,App,Python,graphite-hook-254021.appspot.com
us-west2,a,VM,Python,35.236.38.77/vm/python.py
us-west2,a,VM,Java,35.236.38.77/vm/java.sh
us-west2,a,App,Python,pyapp-254017.appspot.com
us-west2,a,App,Java,javaapp-3298719.appspot.com
europe-west6,a,VM,Python,34.65.60.226
europe-north1,a,App,Java,timing-experiment-254017.appspot.com
europe-west6,a,App,Python,vivid-memento-254504.appspot.com
us-west1,a,App,Python,ip-timing.appspot.com
europe-west1,b,App,Python,timing-experiment.appspot.com
europe-west1,b,App,Java,random-timing.appspot.com
europe-west1,b,VM,Java,35.195.133.24:8000
europe-west1,b,VM,Python,35.195.133.24:8080
asia-south1,b,App,Python,melodic-lantern-252322.appspot.com
asia-south1,b,VM,Python,python-compute-252322.appspot.com
asia-south1,b,App,Java,random-number-generator-251217.appspot.com
asia-south1,b,VM,Java,35.239.94.178:8080
europe-north1,b,VM,Java,35.228.170.187
europe-west2,c,App,Python,voltaic-azimuth-254421.appspot.com
northamerica-northeast1,a,App,Python,a-project-made-of-time.appspot.com
europe-west6,a,App,Python,project1-2-254017.appspot.com
us-east1,b,App,Python,pythonae-east.appspot.com
us-east1,b,App,Java,airy-web-254017.appspot.com/demo
europe-west2,b,App,Python,python-app-new-server.appspot.com
europe-west2,b,App,Java,35.246.72.72:8080/javarand/MyServlet
us-central1,a,VM,Java,35.225.166.187:8080/rng
us-central1,a,VM,Python,35.225.166.187/
australia-southeast1,a,VM,Python,35.244.66.146:5000
australia-southeast1,a,App,Python,timing-experiment-flask.appspot.com
australia-southeast1,a,App,Java,randomnumzonea.appspot.com
australia-southeast1,a,VM,Java,35.244.66.146:9999/randomNumber/randNum
asia-northeast1,b,VM,Java,35.221.85.9:8080/rng
asia-northeast1,b,VM,Python,35.221.85.9
europe-west,c,App,Java,t0925-254018.appspot.com
europe-west3,c,App,Java,randomtiming.appspot.com
europe-north1,a,VM,Python,35.228.182.58:8000/randomNumber
asia-northeast2,a,App,Java,number-254315.appspot.com/hello
europe-west1,,App,Java,composed-anvil-254017.appspot.com/demo
europe-west1,,App,Python,cs4263-test.appspot.com
europe-west1,,VM,Java,34.77.239.200:5000/
europe-west1,,VM,Python,35.238.165.97:5000/
asia-south2,a,App,Java,randn-254517.appspot.com/hello
asia-northeast2,a,App,Java,randn-254517.appspot.com/hello
europe-north1,a,VM,Java,35.228.200.95/examples/servlets/servlet/HelloWorldExample
asia-east2,a,VM,Java,34.92.91.211:8080/random-gcp/random.jsp
asia-east2,a,App,Java,software-engineering-i-2.appspot.com/demo
asia-east2,a,VM,Python,35.220.139.138:5000
asia-east2,a,App,Python,experimentproject-254019.appspot.com
asia-east1,a,App,Python,asian-four-men-one-shell.appspot.com
asia-east1,a,VM,Python,www.qazwsxedc.gq
us-central1,a,VM,Python,35.209.210.228:5000
